HPSA_Name,HPSA_ID,Designation_Type,HPSA_Discipline_Class,HPSA_Score,Primary_State_Abbreviation,HPSA_Status,HPSA_Designation_Date,Withdrawn_Date,County_Name,HPSA_Population_Type,pct_of_pop_below_poverty,Longitude,Latitude
Arrowhead,106999060Z,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/06/1984,01/21/1994,,Geographic Population,0,,
Bell Southwest/Vernon (MSSA 78.2DDD),10699906GZ,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/18/2006,09/12/2011,,Geographic Population,,,
Biggs/Gridley/Live Oak,106999063H,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,07/31/1998,,Geographic Population,23,,
Bolinas/Stinson Beach (MSSA 81),1069990661,Geographic HPSA,Primary Care,0,CA,Withdrawn,07/21/1978,11/03/2011,,Geographic Population,,,
Boonville/Navarro/Philo/Yorkville,106999063M,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,11/19/2001,,Geographic Population,18.8,,
Boron/California City (MSSA 65),1069990641,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/19/1979,03/06/2007,,Geographic Population,12.3,,
Borrego Springs (MSSA 152),106999060F,Geographic HPSA,Primary Care,11,CA,Withdrawn,01/12/1981,06/27/2013,,Geographic Population,,,
Brawley/Calipatria MSSA 50/51,106999064J,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/18/1993,03/14/2003,,Geographic Population,23,,
Calexico (MSSA 49),106999063J,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,03/06/2007,,Geographic Population,41.3,,
Central Oakland,106999061A,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/06/1984,05/30/1997,,Geographic Population,17.7,,
Central Shasta (MSSA 188),106999060Q,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/16/1982,02/06/2007,,Geographic Population,15.6,,
Ceres/Modesto South Central (MSSA 215C),10699906BP,Geographic HPSA,Primary Care,0,CA,Withdrawn,12/07/2005,11/03/2011,,Geographic Population,,,
Chuckwall/Desert Center/Eagle Mountain,106999063Q,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,09/20/1999,,Geographic Population,33,,
City Heights (MSSA 161D),10699906U1,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/03/2005,06/24/2010,,Geographic Population,,,
City Terrace East/East L.A. (MSSA 78.2D),10699906ZC,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/18/2006,05/29/2012,,Geographic Population,,,
Clearlake Highlands,1069990612,Geographic HPSA,Primary Care,0,CA,Withdrawn,09/27/1978,04/02/1984,,Geographic Population,0,,
Coalinga,1069990692,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/11/1980,09/15/2000,,Geographic Population,18.1,,
Colfax-Summit (MSSA 118),1069990682,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/16/1979,06/30/1999,,Geographic Population,8.5,,
Colusa County,1068364034,Geographic HPSA,Primary Care,11,CA,Designated,04/17/2017,,,Geographic Population,14.4,,
Commerce,1069990607,Geographic HPSA,Primary Care,0,CA,Withdrawn,09/27/1978,04/02/1984,,Geographic Population,13,,
Coulterville/Mariposa,1069990660,Geographic HPSA,Primary Care,0,CA,Withdrawn,11/09/1990,11/02/2001,,Geographic Population,13.2,,
Covelo,1069990627,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/15/1978,11/03/2011,,Geographic Population,,,
Cuyama,1069990614,Geographic HPSA,Primary Care,0,CA,Withdrawn,12/01/1978,09/20/1999,,Geographic Population,2.5,,
Delano/McFarland (MSSA 60),106999062N,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/29/1991,05/20/1996,,Geographic Population,21.2,,
Delhi/Livingston (MSSA 95),10699906D9,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/05/2003,02/27/2008,,Geographic Population,19,,
Dixon,106999060O,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/29/1982,09/20/1999,,Geographic Population,7,,
Downieville MSSA 192,1069990693,Geographic HPSA,Primary Care,0,CA,Withdrawn,10/19/1987,06/24/2009,,Geographic Population,8.9,,
Downtown San Diego (MSSA 161C),10699906AD,Geographic HPSA,Primary Care,0,CA,Withdrawn,10/17/2005,02/28/2008,,Geographic Population,34.8,,
Doyle (MSSA 74),10699906U5,Geographic HPSA,Primary Care,13,CA,Withdrawn,05/19/2005,06/27/2013,,Geographic Population,,,
East Bakersfield (MSSA 66B),106999061X,Geographic HPSA,Primary Care,0,CA,Withdrawn,10/22/2002,02/28/2008,,Geographic Population,34.9,,
East Compton (MSSA 78.2BBB),106999060M,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/12/1982,11/03/2011,,Geographic Population,,,
East Contra Costa,106999061L,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/15/1985,09/20/1999,,Geographic Population,6.5,,
East Los Angeles/City Terrace,1069990606,Geographic HPSA,Primary Care,0,CA,Withdrawn,09/27/1978,09/15/2000,,Geographic Population,24.1,,
East Menlo Park-East Palo Alto-MSSA 176B,106999061E,Geographic HPSA,Primary Care,0,CA,Withdrawn,09/14/1984,02/05/2002,,Geographic Population,17.4,,
East Oakland,106999061B,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/06/1984,05/30/1997,,Geographic Population,24,,
East Salinas/North Central Salinas,106999060I,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/19/1981,09/20/1999,,Geographic Population,22.1,,
East San Pedro/Wilmington/Long Beach Port,106999064M,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/05/1993,03/31/1998,,Geographic Population,23.2,,
East Yolo,106999064D,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,09/20/1999,,Geographic Population,17.6,,
Edison/Easton,106999061Q,Geographic HPSA,Primary Care,0,CA,Withdrawn,02/11/1986,04/30/1996,,Geographic Population,35.2,,
El Centro (MSSA 48),106999064I,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/18/1993,03/06/2007,,Geographic Population,28.1,,
El Monte (MSSA 78.2OO),106999061F,Geographic HPSA,Primary Care,0,CA,Withdrawn,09/14/1984,11/04/2010,,Geographic Population,,,
Esparto,106999060P,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/29/1982,05/30/1997,,Geographic Population,12.2,,
Fair Oaks,1069990689,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/06/1980,04/02/1984,,Geographic Population,0,,
Ferndale (MSSA 41),106999068Z,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/30/2001,12/02/2004,,Geographic Population,14.1,,
Figueroa/Firestone/Green Meadows/Watts,1069990670,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/04/1979,09/20/1999,,Geographic Population,38.3,,
Florence/Huntington Park,1069990667,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/04/1979,10/02/1995,,Geographic Population,29.1,,
Fontana North/Rancho Cucamonga Northwest-MSSA 151E,10699906DU,Geographic HPSA,Primary Care,0,CA,Withdrawn,12/27/2006,06/29/2012,,Geographic Population,,,
Fruitridge/Oak Park (MSSA 139F),10699906F5,Geographic HPSA,Primary Care,0,CA,Withdrawn,07/15/2003,11/03/2011,,Geographic Population,,,
Galt,1069990623,Geographic HPSA,Primary Care,0,CA,Withdrawn,11/15/1978,09/20/1999,,Geographic Population,8.6,,
Gilroy/Morgan Hill (MSSA 182),10699906P6,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/01/2004,11/03/2011,,Geographic Population,,,
Glenn,106021,Geographic HPSA,Primary Care,0,CA,Withdrawn,11/15/1988,06/17/1993,,Geographic Population,0,,
Golden Hills/Logan Heights,1069990637,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/12/1979,08/25/2000,,Geographic Population,38.1,,
Gonzales/Greenfield/Soledad (MSSA 107),106999067N,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/13/1997,05/29/2012,,Geographic Population,,,
Greenville,106999060L,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/07/1982,10/02/1995,,Geographic Population,17.1,,
Guadalupe,106999063V,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,11/03/2011,,Geographic Population,,,
Gustine/Newman,106999062D,Geographic HPSA,Primary Care,0,CA,Withdrawn,09/28/1989,11/16/1994,,Geographic Population,11,,
Happy Camp,1069990611,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/15/1978,11/03/2011,,Geographic Population,,,
Hayfork/Forest Glen/Peanut(MSSA 225),1069990662,Geographic HPSA,Primary Care,0,CA,Withdrawn,07/21/1978,08/31/2011,,Geographic Population,,,
Hayward Central/San Leandro East MSSA 2H,10699906C5,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/10/2002,11/03/2011,,Geographic Population,,,
Helendale/Silver Lakes,106999065A,Geographic HPSA,Primary Care,0,CA,Withdrawn,02/02/1994,09/15/2000,,Geographic Population,14.5,,
Hollister/San Juan Bautista,106999061R,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/31/1986,06/30/2000,,Geographic Population,10.2,,
Honey Lake,1069990674,Geographic HPSA,Primary Care,0,CA,Withdrawn,07/24/1979,06/16/1995,,Geographic Population,8.8,,
Huntington Park/Slauson Central MSSA 78,1069990665,Geographic HPSA,Primary Care,0,CA,Withdrawn,02/06/2006,06/29/2012,,Geographic Population,,,
Huron (MSSA 28),106999063S,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,02/03/2006,,Geographic Population,33.6,,
Idyllwild/Pine Cove (MSSA 130),106999062J,Geographic HPSA,Primary Care,0,CA,Withdrawn,11/23/1990,11/03/2011,,Geographic Population,,,
Imperial Valley,106999061C,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/16/1984,06/18/1993,,Geographic Population,22.5,,
Julian/Pine Valley (MSSA 154),1069990618,Geographic HPSA,Primary Care,0,CA,Withdrawn,12/19/1978,04/27/2004,,Geographic Population,13,,
Kerman (MSSA 29),106999062T,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/11/1992,02/14/2006,,Geographic Population,25.9,,
King City,1069990608,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/20/1978,01/10/2002,,Geographic Population,55.7,,
Kings Beach (MSSA 117),10699906BT,Geographic HPSA,Primary Care,0,CA,Withdrawn,12/23/2005,12/22/2006,,Geographic Population,10.3,,
Knights Landing,106999063B,Geographic HPSA,Primary Care,0,CA,Withdrawn,12/03/1992,05/30/1997,,Geographic Population,17.8,,
Laton/Riverdale (MSSA 69.1),106999067C,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/18/1996,08/03/2006,,Geographic Population,,,
Lemon Grove/National City (MSSA 161G),106999065G,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/21/1994,11/30/2010,,Geographic Population,,,
Lindsay (MSSA 228.2),10699906AC,Geographic HPSA,Primary Care,0,CA,Withdrawn,10/17/2005,02/11/2009,,Geographic Population,26.8,,
Loma Prieta School District,1069990653,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/30/1978,04/02/1984,,Geographic Population,0,,
Los Padres (MSSA 237),106999067S,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/31/1998,01/09/2003,,Geographic Population,30.1,,
Lucerne Valley,106999060D,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1981,05/16/1985,,Geographic Population,0,,
Lytle Creek/Wrightwood (MSSA 148),10699906ZE,Geographic HPSA,Primary Care,0,CA,Withdrawn,10/13/2006,06/29/2012,,Geographic Population,,,
Madeline Plains,1069990658,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/07/1978,06/16/1995,,Geographic Population,22.8,,
Mammoth Lakes (MSSA 103),106999066Q,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/01/1995,02/20/2002,,Geographic Population,7.4,,
Manteca/Escalon MSSA-164.1 and 164.2,10699906KB,Geographic HPSA,Primary Care,0,CA,Withdrawn,08/06/2007,06/29/2012,,Geographic Population,,,
Maple/Santa Barbara,1069990666,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/25/1979,10/02/1995,,Geographic Population,32.7,,
Markleeville,1069990629,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/01/1979,05/30/1997,,Geographic Population,18,,
Maywood Bell,106999061G,Geographic HPSA,Primary Care,0,CA,Withdrawn,09/14/1984,10/02/1995,,Geographic Population,23.9,,
McCloud/Tennant (MSSA 199),106999066M,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/01/1995,12/22/2008,,Geographic Population,18,,
Meridian/Robbins,106999063Y,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,07/31/1998,,Geographic Population,19.3,,
Mission/Ocean/Pacific Beach,106999060H,Geographic HPSA,Primary Care,0,CA,Withdrawn,07/02/1981,05/16/1985,,Geographic Population,41,,
Mono North/Topaz Walker,1069990673,Geographic HPSA,Primary Care,0,CA,Withdrawn,07/10/1979,09/20/1999,,Geographic Population,11.2,,
MSSA 104/Big Sur,106999063P,Geographic HPSA,Primary Care,14,CA,Withdrawn,09/01/2010,07/02/2018,,Geographic Population,,,
MSSA 111.3/Berryessa,1065828111,Geographic HPSA,Primary Care,8,CA,Designated,05/13/2008,,,Geographic Population,4.9,,
MSSA 114 and 117/Truckee/Dollar Point,1062720461,Geographic HPSA,Primary Care,10,CA,Designated,12/22/2006,,,Geographic Population,11.7,,
MSSA 118/Colfax,1063697934,Geographic HPSA,Primary Care,9,CA,Designated,06/30/1999,,,Geographic Population,8.6,,
MSSA 12/Calaveras County/Angels Camp,1062545418,Geographic HPSA,Primary Care,8,CA,Designated,10/14/2005,,,Geographic Population,12.1,,
MSSA 120/Foresthill,1065659120,Geographic HPSA,Primary Care,13,CA,Designated,06/05/1980,,,Geographic Population,12.9,,
MSSA 136/Galt,1065949385,Geographic HPSA,Primary Care,9,CA,Designated,08/28/2017,,,Geographic Population,18,,
MSSA 137/Isleton,1061081242,Geographic HPSA,Primary Care,9,CA,Designated,05/13/2008,,,Geographic Population,14.4,,
MSSA 140/Hollister,1063258202,Geographic HPSA,Primary Care,8,CA,Designated,10/26/2001,,,Geographic Population,12.1,,
MSSA 144.2 and 144.3/Joshua Tree/Cadiz,106999061K,Geographic HPSA,Primary Care,12,CA,Withdrawn,10/29/1984,06/26/2017,,Geographic Population,19.9,,
MSSA 145.3/Lucerne Valley,1063381373,Geographic HPSA,Primary Care,15,CA,Designated,05/15/2014,,,Geographic Population,24.1,,
MSSA 146/Big Bear Lake,1066475602,Geographic HPSA,Primary Care,17,CA,Designated,12/18/2009,,,Geographic Population,16.7,,
MSSA 147/Blue Jay,106999068K,Geographic HPSA,Primary Care,8,CA,Withdrawn,05/19/1999,07/02/2018,,Geographic Population,8.5,,
MSSA 148/Wrightwood,1064154708,Geographic HPSA,Primary Care,11,CA,Designated,11/06/2012,,,Geographic Population,10.5,,
MSSA 149/Barstow,10699906FD,Geographic HPSA,Primary Care,9,CA,Withdrawn,03/12/2014,07/02/2018,,Geographic Population,,,
MSSA 153.1/Pala,1061429842,Geographic HPSA,Primary Care,11,CA,Designated,01/12/1981,,,Geographic Population,16.3,,
MSSA 154/Barona/Moreno,1065632711,Geographic HPSA,Primary Care,11,CA,Designated,08/05/2008,,,Geographic Population,11.3,,
MSSA 158.2/San Diego County Estates,1061595046,Geographic HPSA,Primary Care,11,CA,Designated,07/11/2008,,,Geographic Population,5.4,,
MSSA 159/Buckman Springs,1069364542,Geographic HPSA,Primary Care,13,CA,Designated,12/19/1978,,,Geographic Population,15.4,,
MSSA 185.2 (Davenport),10699906LP,Geographic HPSA,Primary Care,11,CA,Withdrawn,08/05/2008,06/27/2013,,Geographic Population,,,
"MSSA 187/Castella, Lakehead, O",106999063F,Geographic HPSA,Primary Care,9,CA,Withdrawn,04/09/1993,06/26/2017,,Geographic Population,13.6,,
MSSA 188.1/Montgomery Creek,1066701732,Geographic HPSA,Primary Care,13,CA,Designated,02/06/2007,,,Geographic Population,13.1,,
MSSA 188.2/Manton,10699906DR,Geographic HPSA,Primary Care,10,CA,Withdrawn,12/22/2006,06/26/2017,,Geographic Population,11.3,,
MSSA 190 Burney/Cassel/Fall River Mills/Hat Creek/,1069990694,Geographic HPSA,Primary Care,15,CA,Withdrawn,11/04/2010,07/02/2018,,Geographic Population,16.4,,
MSSA 190-Burney,1069721728,Geographic HPSA,Primary Care,14,CA,Designated,08/02/2018,,,Geographic Population,19.1,,
MSSA 194/Etna,1065856521,Geographic HPSA,Primary Care,17,CA,Designated,10/02/1978,,,Geographic Population,19.4,,
MSSA 200/Dorris,1069990622,Geographic HPSA,Primary Care,12,CA,Withdrawn,06/15/1978,06/26/2017,,Geographic Population,31.7,,
MSSA 203.2/Rio Vista,1064086867,Geographic HPSA,Primary Care,12,CA,Designated,03/06/2014,,,Geographic Population,10.9,,
MSSA 206/Cloverdale,1061170150,Geographic HPSA,Primary Care,10,CA,Designated,01/08/1979,,,Geographic Population,10.1,,
MSSA 208/Sonoma,106999065P,Geographic HPSA,Primary Care,6,CA,Designated,12/22/2017,,,Geographic Population,13.1,,
MSSA 22/Georgetown North El Dorado,1065594606,Geographic HPSA,Primary Care,12,CA,Designated,05/30/1979,,,Geographic Population,8.8,,
MSSA 223 and 224/Junction City/Weaverville/Trinity C,1067437686,Geographic HPSA,Primary Care,12,CA,Designated,04/02/1993,,,Geographic Population,17.5,,
"MSSA 225/Hayfork, Forest Glen, Peanut",1068478818,Geographic HPSA,Primary Care,17,CA,Designated,08/18/2006,,,Geographic Population,22.9,,
MSSA 229/Three Rivers,1063398263,Geographic HPSA,Primary Care,14,CA,Designated,05/16/1985,,,Geographic Population,9.2,,
MSSA 23.2-Camino/Pollock Pines,1061947947,Geographic HPSA,Primary Care,15,CA,Designated,11/29/2017,,,Geographic Population,11.1,,
MSSA 232/Springville,1066120275,Geographic HPSA,Primary Care,14,CA,Designated,11/16/1979,,,Geographic Population,15.7,,
MSSA 234.1 and 235/Chinese Camp/Big Oak Flat,1068995668,Geographic HPSA,Primary Care,15,CA,Designated,05/01/1979,,,Geographic Population,12.3,,
MSSA 24/South Lake Tahoe,1061763627,Geographic HPSA,Primary Care,14,CA,Designated,07/12/2017,,,Geographic Population,15.4,,
MSSA 247/Browns Valley,1066503651,Geographic HPSA,Primary Care,17,CA,Designated,09/30/1998,,,Geographic Population,25,,
MSSA 26/San Joaquin,1069990691,Geographic HPSA,Primary Care,16,CA,Withdrawn,08/11/1980,06/26/2017,,Geographic Population,40.5,,
MSSA 2H-Hayward Northeast/San Leandro North Central,1067870961,Geographic HPSA,Primary Care,8,CA,Designated,09/01/2017,,,Geographic Population,18.1,,
MSSA 3/Markleeville,1064812935,Geographic HPSA,Primary Care,10,CA,Designated,05/20/2008,,,Geographic Population,15.1,,
MSSA 31 - Sanger,1067629425,Geographic HPSA,Primary Care,5,CA,Designated,08/22/2016,,,Geographic Population,14.1,,
MSSA 35B-Clovis West-Fresno East,1064737800,Geographic HPSA,Primary Care,12,CA,Designated,09/12/2016,,,Geographic Population,19.5,,
MSSA 48 - El Centro,10699906ZL,Geographic HPSA,Primary Care,11,CA,Withdrawn,03/06/2007,07/01/2016,,Geographic Population,19.3,,
MSSA 49/Calexico,1067195870,Geographic HPSA,Primary Care,15,CA,Designated,03/06/2007,,,Geographic Population,26,,
MSSA 56/Death Valley,1069990646,Geographic HPSA,Primary Care,15,CA,Withdrawn,02/23/1978,06/25/2014,,Geographic Population,,,
MSSA 57.1/Fort Tejon,1066378173,Geographic HPSA,Primary Care,16,CA,Designated,03/05/1978,,,Geographic Population,13.1,,
MSSA 57.2/Taft,106999062Z,Geographic HPSA,Primary Care,14,CA,Withdrawn,08/27/1992,07/02/2018,,Geographic Population,21.8,,
MSSA 58.1/Shafter,10699906CQ,Geographic HPSA,Primary Care,11,CA,Withdrawn,04/28/2006,07/02/2018,,Geographic Population,27.8,,
MSSA 59/Buttonwillow,1062831224,Geographic HPSA,Primary Care,12,CA,Designated,02/04/1997,,,Geographic Population,22.9,,
MSSA 6/Pioneer,1061018308,Geographic HPSA,Primary Care,16,CA,Designated,07/11/2008,,,Geographic Population,10.7,,
MSSA 65/California City,1064582799,Geographic HPSA,Primary Care,16,CA,Proposed For Withdrawal,03/06/2007,,,Geographic Population,23.4,,
MSSA 69/Hanford/Lemoore,1069693751,Geographic HPSA,Primary Care,12,CA,Designated,04/13/2017,,,Geographic Population,19.2,,
MSSA 7.3/Butte Meadows/Forest Ranch,1065749241,Geographic HPSA,Primary Care,11,CA,Designated,01/23/2009,,,Geographic Population,10.2,,
MSSA 7.4/Durham,1069639946,Geographic HPSA,Primary Care,11,CA,Designated,03/21/2014,,,Geographic Population,11.4,,
MSSA 71.2 and 71.3/Lower Lake/Cobb,1068811139,Geographic HPSA,Primary Care,12,CA,Designated,08/04/2005,,,Geographic Population,15.2,,
MSSA 73/Bieber,1066701137,Geographic HPSA,Primary Care,10,CA,Designated,04/24/2017,,,Geographic Population,10.2,,
MSSA 73-Bieber,1069990659,Geographic HPSA,Primary Care,13,CA,Withdrawn,06/15/1978,12/04/2013,,Geographic Population,,,
MSSA 76.2 Castaic/Val Verde,10699906NB,Geographic HPSA,Primary Care,12,CA,Withdrawn,12/29/2009,06/27/2013,,Geographic Population,,,
MSSA 77.1A/Palmdale Central,1061321657,Geographic HPSA,Primary Care,14,CA,Designated,11/22/2013,,,Geographic Population,22.1,,
MSSA 77.2/Lake Los Angeles,1062218238,Geographic HPSA,Primary Care,18,CA,Designated,11/22/2013,,,Geographic Population,28.5,,
MSSA 77.3/Juniper Hills,1069007314,Geographic HPSA,Primary Care,15,CA,Designated,12/23/2013,,,Geographic Population,16.9,,
MSSA 78.1/Avalon,1067315777,Geographic HPSA,Primary Care,16,CA,Designated,12/19/1984,,,Geographic Population,10.7,,
MSSA 78.2C/Bell Northeast/Bell Gardens/Montebello South,10699906O4,Geographic HPSA,Primary Care,9,CA,Withdrawn,05/09/2011,07/02/2018,,Geographic Population,,,
MSSA 79.1-Oakhurst - Yosemite Lakes,1064361419,Geographic HPSA,Primary Care,11,CA,Designated,08/25/2016,,,Geographic Population,14.1,,
MSSA 85 and 86/Bootjack/Yosemite Valley,1067390965,Geographic HPSA,Primary Care,10,CA,Designated,05/13/2005,,,Geographic Population,16.3,,
MSSA 87.2 and 89 - Mendocino/Fort Bragg,10699906MT,Geographic HPSA,Primary Care,13,CA,Withdrawn,08/28/2009,06/27/2013,,Geographic Population,,,
MSSA 87.2 and 89/Mendocino/Fort Bragg,1061646893,Geographic HPSA,Primary Care,10,CA,Designated,08/27/2015,,,Geographic Population,18.8,,
MSSA 8-Magalia/Paradise/Stirling City,1062210541,Geographic HPSA,Primary Care,8,CA,Designated,07/28/2017,,,Geographic Population,17.4,,
MSSA 93.3/Potter Valley,1069258904,Geographic HPSA,Primary Care,11,CA,Designated,12/24/2009,,,Geographic Population,17.8,,
MSSA 94/Los Banos,1068286734,Geographic HPSA,Primary Care,15,CA,Designated,09/20/2018,,,Geographic Population,23.1,,
MSSA 9-Biggs/East Biggs/Gridley,1065591045,Geographic HPSA,Primary Care,9,CA,Designated,02/02/2017,,,Geographic Population,18.6,,
MSSAs 212.2/212.3/213/Keyes/Salida/Crows Landin,1065523183,Geographic HPSA,Primary Care,12,CA,Designated,02/03/2009,,,Geographic Population,21.1,,
MSSAs 234.2/236-Sonora/East Sonora,1063722356,Geographic HPSA,Primary Care,11,CA,Designated,03/20/2017,,,Geographic Population,14.9,,
MSSAs 54 and 55 Big Pine/Lone Pine,1067508982,Geographic HPSA,Primary Care,17,CA,Designated,03/24/2010,,,Geographic Population,15.7,,
Newman/Patterson (MSSA 213),106999068G,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/25/1999,08/19/2004,,Geographic Population,18.8,,
Oakland South (MSSA 2D),106999069T,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/01/2001,11/03/2011,,Geographic Population,,,
Orland,1069990619,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/15/1978,09/15/2000,,Geographic Population,16.4,,
Oroville/Palermo,106999063G,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,09/15/2000,,Geographic Population,21.1,,
Pajaro,106999063N,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,07/31/1998,,Geographic Population,9.6,,
Palo Verde/Blythe,1069990657,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/12/1978,09/20/1999,,Geographic Population,20.7,,
Petaluma (MSSA 209.1),106999068Y,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/28/2000,11/03/2011,,Geographic Population,,,
Pico Rivera South,106999065Z,Geographic HPSA,Primary Care,0,CA,Withdrawn,09/26/1994,12/08/2000,,Geographic Population,13.1,,
Pine Grove/Silver Lake,1069990630,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/01/1979,11/04/1983,,Geographic Population,0,,
Pittsburg,106999060S,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/19/1983,07/23/1987,,Geographic Population,33,,
Point Arena,1069990621,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/07/1978,06/22/1987,,Geographic Population,0,,
Pollock Pines (MSSA 23.2),106999069A,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/30/2000,11/03/2011,,Geographic Population,,,
Ramona,1069990698,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/12/1981,02/20/2002,,Geographic Population,8.6,,
Red Bluff,106999063Z,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,06/15/1999,,Geographic Population,15.3,,
Redwood/Potter Valley,106999061N,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/10/1985,09/15/2000,,Geographic Population,10.7,,
Rio Dell/Scotia (MSSA 43),106999069H,Geographic HPSA,Primary Care,0,CA,Withdrawn,10/30/2000,11/03/2006,,Geographic Population,,,
Riverside Downtown (MSSA 135A),10699906C0,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/08/2002,11/03/2011,,Geographic Population,,,
Russian River/Coastal (MSSA 207),106999062X,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/16/1992,11/03/2011,,Geographic Population,,,
San Andreas,106999065V,Geographic HPSA,Primary Care,0,CA,Withdrawn,09/15/1994,02/11/2000,,Geographic Population,8.9,,
San Benito,106069,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/30/1978,04/02/1984,,Geographic Population,12,,
San Benito/Bitterwater,106999061S,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/31/1986,08/22/2005,,Geographic Population,3,,
San Ysidro,1069990679,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/30/1979,06/22/1999,,Geographic Population,16.9,,
Seaside,1069990603,Geographic HPSA,Primary Care,0,CA,Withdrawn,05/30/1978,12/03/1983,,Geographic Population,0,,
Selma (MSSA 33),106999069M,Geographic HPSA,Primary Care,0,CA,Withdrawn,01/19/2001,05/01/2006,,Geographic Population,25.6,,
Sierra,106091,Geographic HPSA,Primary Care,0,CA,Withdrawn,03/18/1983,10/19/1987,,Geographic Population,12,,
Sierra,106999060J,Geographic HPSA,Primary Care,0,CA,Withdrawn,12/10/1981,01/21/1994,,Geographic Population,0,,
South Barstow-Victorville/Adelanto/Apple Val,106999063U,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,09/20/1999,,Geographic Population,13,,
South Coachella Valley/Mecca,106999063R,Geographic HPSA,Primary Care,0,CA,Withdrawn,04/02/1993,09/20/1999,,Geographic Population,32.2,,
South of Market (MSSA 162C),10699906A1,Geographic HPSA,Primary Care,0,CA,Withdrawn,07/25/2001,11/03/2011,,Geographic Population,,,
South Rialto/Fontana (MSSA 151F),10699906U6,Geographic HPSA,Primary Care,0,CA,Withdrawn,06/30/2005,11/03/2011,,Geographic Population,,,
